rencana_id;product_code;stok;kebutuhan;created_at;updated_at
1;706-GLU;0;1000;01/01/2021;01/01/2021
1;706-HCL;0;1000;01/01/2021;01/01/2021
1;706-PHP;0;500;01/01/2021;01/01/2021
1;706-MNS;0;250;01/01/2021;01/01/2021
1;706-MTL-1;0;6000;01/01/2021;01/01/2021
1;706-CCH;0;25;01/01/2021;01/01/2021
1;706-WPM;0;1000;01/01/2021;01/01/2021
1;706-ALK-1;0;30000;01/01/2021;01/01/2021
1;706-MKJ;0;50000;01/01/2021;01/01/2021
1;706-DCA;250;135;01/01/2021;01/01/2021
1;706-KNO;0;4000;01/01/2021;01/01/2021
1;706-CNO;0;4000;01/01/2021;01/01/2021
1;706-FEB;0;100;01/01/2021;01/01/2021
1;706-MNP;0;4000;01/01/2021;01/01/2021
1;706-KSO;0;1000;01/01/2021;01/01/2021
1;706-AEN;0;4000;01/01/2021;01/01/2021
1;706-MGM;0;4000;01/01/2021;01/01/2021
1;706-MNG;0;1000;01/01/2021;01/01/2021
1;706-CUP;0;4000;01/01/2021;01/01/2021
1;706-ZNC;0;4000;01/01/2021;01/01/2021
1;706-ISO;0;4000;01/01/2021;01/01/2021
1;706-AMO;0;30;01/01/2021;01/01/2021
1;706-PIS;0;1000;01/01/2021;01/01/2021
1;706-IOD;0;125;01/01/2021;01/01/2021
1;706-MTH;0;500;01/01/2021;01/01/2021
1;706-EOS;0;500;01/01/2021;01/01/2021
1;706-AQU;0;10000;01/01/2021;01/01/2021
1;706-BEN;0;20;01/01/2021;01/01/2021
1;706-PRO;0;2500;01/01/2021;01/01/2021
1;706-MBS;4000;4000;01/01/2021;01/01/2021
1;706-BKN-1;0;1000;01/01/2021;01/01/2021
1;706-DET;0;900;01/01/2021;01/01/2021
1;706-DDK;0;1000;01/01/2021;01/01/2021
1;706-BBD;0;10;01/01/2021;01/01/2021
1;706-BBY-1;0;25;01/01/2021;01/01/2021
1;706-BBY-2;0;50;01/01/2021;01/01/2021
1;706-BSL-1;0;250;01/01/2021;01/01/2021
1;706-BTM-1;0;500;01/01/2021;01/01/2021
1;706-BTM-2;0;250;01/01/2021;01/01/2021
1;706-BLC-1;0;15;01/01/2021;01/01/2021
1;706-BCB-1;0;10;01/01/2021;01/01/2021
1;706-BCM-1;0;25;01/01/2021;01/01/2021
1;706-BPC-1;0;25;01/01/2021;01/01/2021
1;706-BLC-2;0;10;01/01/2021;01/01/2021
1;706-BTT-1;0;10;01/01/2021;01/01/2021
